participant,speech.sample,motion.expression.type
120,&um Mr Bean &um corre &um cerca del [//] de la manta &um &um corre de <un (1)oveja> [//] una (2)oveja,VPN
120,&um Mr Bean pasea en &um el calle con &um coches &um <cerca del él> [//] cerca de él,VPN
120,&um el hombre &um cae al [/] al suelo &um y &um tiene duele,VPN
120,&um Mr Bean &um muva [: (1)mueve] [*] en un saco en el andén &um # muve [: (2)mueve] [*] con los manos y &um los &um piernas,VPN
120,&um Mr Bean &um muva [: (1)mueve] [*] en un saco en el andén &um # muve [: (2)mueve] [*] con los manos y &um los &um piernas,V
120,Mr Bean &um abre la puerta y entre [: entra] [*] una habitación &um de un hotel ,VN
120,&um Mr Bean trepa las escaleras <&um para (1)ver> [/] &um para (2)ver xxx # trepa con una maleta también,VN
120,&um Mr Bean trepa las escaleras <&um para (1)ver> [/] &um para (2)ver xxx # trepa con una maleta también,V
120,&um el perro &um corre &um después de Mr Bean &um porque quiere &um la comida,VPN
120,&um Mr Bean corre al edificio &um &um porque &um está &um (1)llevada [//] (2)llevando [//] lluviendo [: (3)lloviendo] [*],VPN
120,&um Mr Bean &um salta &um arriba de un libro &um ,VPN
120,y um el [/] el niño siente [: sienta] [*] cerca de las botas .,VPN
120,um la ran(a) no um la rana (1)vuelve el jarro um cuando el niño um duerme .,VN
120,um [^ eng: sorry] um el niño se (1)levanta y (2)ve el jarro ehm y (3)ve la rana no es en el jarro .,V
120,<el perro> [/] um el perro con el jarro um (1)voy [//] ve [: (2)va] [*] a la um piso .,VPN
120,um el niño (1)vuelv(e) [/] (2)vuelve la casa y bus(ca) [/] busca los árboles por la rana .,VN
120,um el niño um trapé [: trepa] [*] los [//] el árbol y (1)ve un hueco por la rana .,VN
120,un búho (1)vuelve <la hueco> [//] el hueco .,VN
120,el perro um corre por los abejas um por xxx .,VPN
120,<el búho> [/] um el búho corre por el niño .,VPN
120,y el niño um trepa [/] trepa un piedra um para escapar um el búho .,VN
120,el (1)venado corre con el niño en los xxx .,V
120,um y el perro corre con um ellos .,V
120,um el (1)venado um um no corre más .,V
120,y um el niño con el perro <fue al> [//] (1)van al la piso de precipicio .,VPN
120,el niño entre [: entra] [*] un estanque con el perro um y sí .,VN
120,um el niño y el perro nadan <a la> [//] a la tierra .,VPN
120,um ellos um (1)ven um um cerca del tronco .,VPN
120,um con la rana la rana el niño y el perro (1)vuelve por su casa .,VPN
120,um el niño um pas(ea) [/] pasea um con un red y cubeta y su perro .,V
120,um el niño um pasea a un arbole [: árbol] [*] con su perro y (1)ve un [//] una [/] una rana en el estanque .,VPN
120,um la rana um se siente en un um en nenú(far) [/] nenúfar .,VPN
120,el niño &um corre para &um la estanca [: estanque] [*] .,VPN
120,um el niño y el perro &um nadan um a la rana .,VPN
120,pero &um la rana escapa &um de [/] de el nenúfar .,VPN
120,la rana um se siente en un tronco .,VPN
120,um el perro nada por la tierra .,VPN
120,el niño trepa el tronco y con [/] con el red .,VN
120,um la rana escapa a la piedra um cuando el niño um (1)vea su perro en el tronco .,VPN
120,el niño y um el perro um # um (1)va um a la casa um .,VPN
120,la rana um llega a la casa <de um el niño> [//] del niño y está en la sala de [//] del niño .,VPN
120,la rana um trepa [/] trepa las escaleras y es en la puerta .,VN
120,la rana entre [: entra] [*] la can(asta) [//] la canasta de comida .,VN
120,y um la mujer y el hombre no (1)ve la rana entre [: entra] [*] .,V
120,um # y la taza de café um es en el aire no cae .,V
120,um la rana um siente [/] siente en un rama de árbol y (1)ve un niño con un barco .,VPN
120,um la rana um (1)va al barco para el aire .,VPN
120,y la madre um (1)va al [/] um al agua y um tiene el bote .,VPN
120,um y la rana escapa [/] escapa .,V
120,la rana entre [: entra] [*] el cochecito .,VN
120,pero un gato (1)ve la rana entre [: entra] [*] .,V
120,um la rana corre um por [//] para el bote de basura .,VPN
120,un y la rana um la rana no puede escapar [//] esquepa [: escapar] [*] .,V
120,y el perro grito por [//] <para la gato> [//] para [//] para el gato um (1)vuelto [//] vuelte [: (2)vuelve] [*] .,V
120,la rana um salta en um el bolsillo um del chaq(ueta) [//] chaquete [: chaqueta] [*] del [/] del niño .,VPN
120,um el niño sal(e) [/] sale con su familia .,V
120,um la familia um (1)vamos [//] (2)va [/] (3)va a un restaurante .,VPN
120,um la rana salta de [//] del bolsillo um a um hombre um toca el saxofón um cuando el niño y su familia ve [: (1)ven] [*] el menus [: menú] [*] .,VPN
120,la rana um entre [: entra] [*] el saxofón um <cuando el hombre> [//] um cuando el músico um toca .,VN
120,um la rana um cae del saxofón um <a la ca(ra)> [/] a la cara del músico .,VPN
120,um la rana um cae del saxofón um <a la ca(ra)> [/] a la cara del músico .,VPN
120,um el músico um cae al tambor y rompí [: rompió] [*] um el tambor .,VPN
120,el saxofón um está um en el aire um cae del um los manos del hombre .,VPN
120,um la rana esquepa [: escapa] [*] .,V
120,um y salta en el ensalada .,VPN
120,um la mujer um cae de su silla .,VPN
120,un y la rana escapa .,V
120,la copa cae al [//] a la mesa .,VPN
120,um la rana salta en um la copa de un hombre con su um marido .,VPN
120,um <la padre> [//] el padre dice que el niño necesite um <ir al cuar(to)> [//] ir al su cuarto um donde está el perro y la tortuga .,VPN
121,&um Mr Bean entre [: entra] [*] el tren,VN
121,&um señor Bean corre cerca de la piscina &um para el trampolín,VPN
121,señor Bean &um escape [: escapa] [*] el coche por la (1)ventana,VN
121,&um señor Bean camina en la calle con uno p(ie) [/] pie,VPN
121,&um señor Bean corre <en el> [//] en la tienda de [//] del centro comercial ,VPN
121,&um señor Bean co(rre) [/] corre y baile cerca de &um habitación,V
121,&um señor Bean co(rre) [/] corre y baile cerca de &um habitación,VPN
121,señor Bean camina en la carretera &um de los montañas,VPN
121,&um señor Bean entra &um el agua de la piscina &um,VN
121,señor Bean &um caminé [: caminó] [*] por el túnel ,VPN
121,&um señor Bean &um sa(le) [/] sale la habitación ,VN
121,&um el perro corre cerca de la (1)ovejas,VPN
121,&um señor Bean # &um muve [: (1)mueve] [*] en el ánden &um,VPN
121,&um señor Bean está en la piscina &um él [/] él quiere usar el tobogán &um # él corre por el tobogán,VPN
121,&um señor Bean sale su habitación &um él camino [//] &um camina por la puerta <y cierre> [//] y cierra la puerta,VN
121,&um señor Bean sale su habitación &um él camino [//] &um camina por la puerta <y cierre> [//] y cierra la puerta,VPN
121,um señor Bean entrene [: entra] [*] a su habitación y cierre [//] cierra la puerta,VPN
121,&um señor Bean está bailando en el calle &um los personas &um # &um miran &um a su Mr Bean porque &um # porque no es bueno porque él es &um malo a bailar,VPN
121,&um señor Bean está bailando en el calle &um los personas &um # &um miran &um a su Mr Bean porque &um # porque no es bueno porque él es &um malo a bailar,V
121,&um señor Bean camina en el andén,VPN
121,&um señor Bean entrena [: entra] [*] a un fotomatón,VPN
121,&um señor Bean &um camina <a su> [//] a la [//] las escaleras,VPN
121,&um señor Bean sale un coche &um él cierra la puerta de la coche,VN
121,&um el hombre &um camina cerca señor Bean,VPN
121,&um Mr Bean (1)levanta de la silla y &um después siente [: se sienta] [*] siente [: se sienta] [*] levante [: se (2)levanta] [*] y siente [: se sienta] [*] levante [: se (3)levanta] [*] # &um mira la (4)televisión cuando pero,V
121,&um señor Bean corre &um # por la carretera,VPN
121,&um señor Bean sale su coche y <cerra [: cierra] [*] su> [//] &um cerra [: cierra] [*] la puerta,VN
121,&um señor Bean &um camina con uno pie &um el coche &um maneja por la calle,V
121,&um señor Bean &um camina con uno pie &um el coche &um maneja por la calle,VPN
121,&um señor Bean corre en <un taquilla> [//] una taquilla &um un [/] un perro &um corre detrás &um señor Bean,VPN
121,&um señor Bean corre en <un taquilla> [//] una taquilla &um un [/] un perro &um corre detrás &um señor Bean,VPN
121,&um señor Bean camina en el otro dirección en el &um ardén [*] [//] &um andén,VPN
121,<&um señor Bean &um> [/] &um señor Bean abrir la puerta y camina por la puerta en &um # él &um entrene [: entra] [*] [//] entrena [: entra] [*] la [//] el laboratorio,VPN
121,<&um señor Bean &um> [/] &um señor Bean abrir la puerta y camina por la puerta en &um # él &um entrene [: entra] [*] [//] entrena [: entra] [*] la [//] el laboratorio,VN
121,<&um señor Bean camina> [//] &um señor Bean us(a) [//] usa <la escal(eras)> [//] las escaleras &um &um él (1)ve un niño &um,V
121,&um señor Bean sale &um el fotomatón # él &um cerra [: cierra] [*] &um la cortana [: cortina] [*],VN
121,&um señor Bean y una gall(ina) [/] una gallina corren por un [//] &um una plaza &um,VPN
121,&um señor Bean &um (1)ve el (2)televisión &um él (3)levanta y sienta [: se sienta] [*] [/] siente [: se sienta] [*]  en la silla,V
121,&um Mr Bean &um salta <en una> [//] en uno pie &um porque <solo tiene> [//] &um solamente tiene un zapato,V
121,&um señor Bean corre en el parque,VPN
121,&um señor Bean sale el coche y cerra [: cierra] [*] la puerta,VN
121,&um señor Bean está &um saltando en la calle con un [//] uno pie # él [/] él salí su zapato en el coche,VPN
121,&um señor Bean &um mira en la sala &um y entra <la [^ eng: room]> [//] &um la habitación,VN
121,&um señor Bean está corriendo &um cerca del [//] de la manta,VPN
121,&um señor Bean camina en el medio del calle,VPN
121,&um un hombre se cayó a el suelo,VPN
121,señor Bean &um abre la puerta &um por entrar la habitación,VN
121,&um señor Bean corre en las escaleras,VPN
121,&um señor Bean &um está en un buzón &um # señor Bean sale [/] sale el buzón,VN
121,<&um el perro> [/] &um el perro corre por señor Bean &um,VPN
121,&um está (1)lloviendo &um señor Bean corre &um por el edificio &um porque está (2)lloviendo [//] lluviendo [: (3)lloviendo] [*] ,VPN
121,&um señor Bean salta en el libro,VPN
121,um el [//] la rana um sal(í) [//] salía el jarro,VN
121,um y camin(ó) [//] caminaba por la (1)ventana .,VPN
121,um cuando el niño y el perro um se (1)levant(aron) [//] levanteron [: (2)levantaron] [*] .,V
121,um la rana sal(í) [//] salí [: salió] [*] el jarro .,VN
121,um el perro um fue por la (1)ventana .,VPN
121,um # el perro corre um detrás las abejas .,VPN
121,um el (1)venado corre con el niño por el principio [*] .,VPN
121,um el niño um camina [/] camin(a) [/] camin(a) [//] el niño camina con el perro .,V
121,el niño um corre cerca um estanque .,VPN
121,el niño corre por el estanque .,VPN
121,um # la rana um sale el estanque y um el niño .,VN
121,um el niño um <dije el perro> [//] um dije [: dice] [*] al perro que nado [: nade] [*] [//] um nadar en el estanque .,VPN
121,um el perro corre por la rana .,VPN
121,um el niño y el perro um camina [: caminan] [*] um # um por su casa .,VPN
121,um um # um la rana um camina a su casa no la casa de niño .,VPN
121,um la rana el niño el perro y la tortuga caminan um por <el par(que)> [/] el parque .,VPN
121,la rana um salí la cubeta .,VN
121,um el niño y el perro um caminan um detrás la rana .,VPN
121,um la rana entre [: entra] [*] la canasta de comida .,VN
121,la rana um sale um la [//] um el picnic .,VN
121,um la rana siente [//] siento [: sienta] [*] en la rama de árbol .,VPN
121,um la [//] el mujer um # el mujer entrena [: entra] [*] la agua um por [//] para el barco .,VN
121,la rana um <nado en> [//] um nada en la [//] um el agua .,VPN
121,<el gato corre por um la rana> [//] um el gato corre para la rana .,VPN
121,um el niño y el perro um llegan a um la rana .,VPN
121,<um el gato corre> [/] um el gato corre .,V
121,el niño el perro la rana y la tortuga um sal(en) [/] salan [: salen] [*] .,V
121,um el [//] la rana um nada um a un otro (1)parte del estanque .,VPN
121,um # um la rana um salta en la chaqueta del niño .,VPN
121,el niño um (1)va a un restaurante con sus padres y su hermano .,VPN
121,um <cuando el> [//] cuando la familia um (1)ve [//] vean [: (2)ven] [*] a su menus [: menú] [*] la rana saltar en [//] por um el hombre con las [//] el saxofón .,VPN
121,um <la rana um se cayó> [//] um la rana se cae um en la cara de [/] de la [//] del [//] <um del el [^ eng: oh mu gosh]> [//] del músico .,VPN
121,la rana salta a [//] con el [^ eng: wait] [//] la rana salta para el ensalada .,VPN
121,<um la mujer se cae um de la [^ eng: sorry my screen went black]> [/] la mujer se cae um de la silla .,VPN
121,um la rana salta detrás la lechuga .,VPN
121,el mesero um hace la familia salir .,V
121,um la familia um está manejando a su casa .,VPN
121,um la padre hace um a el niño um ir al su habitación o su cuarto .,VPN
122,&um señor Bean camina por la puerta de [//] del tren,VPN
122,Mr Bean quiere saltar en el trampolín y él clima o clima y &um # a la [^ eng: top] él &um él está miedo y no quiere saltar en la piscina ,VPN
122,Mr Bean quiere saltar en el trampolín y él clima o clima y &um # a la [^ eng: top] él &um él está miedo y no quiere saltar en la piscina ,VPN
122,Mr Bean está en el calle y # él # se molesta &um porque el pie &um Mr Bien no tiene un # zapato y &um # él salté [: salta] [*] [//] salta en la calle porque no tiene un zapato en su pie ,VPN
122,Mr Bean está en el centro comercial y # esté en un paseo un [^ eng: sale] de enero y estás persona más (1)viejos &um tan Mr Bean y él corre en &um el tiendo [*] para los  [^ eng: sales] él tiene un bolso y,VPN
122,el cochecito &um está flota [: flotando] [*] en el cielo porque &um está más tanto globos y un <el bebé> [/] el bebé está en el &um coche(cito) [/] cochecito posible &um sí &um es [/] es en el cielo,VPN
122,Mr Bean está en la piscina ahora &um porque cuando él &um está en el trampolín &um los niños no se ayude y Mr Bean se cayó en el agua # ahora Mr Bean &um # se nada en la piscina pero no pienso que él le gusta nadar ,VPN
122,Mr Bean está en la piscina ahora &um porque cuando él &um está en el trampolín &um los niños no se ayude y Mr Bean se cayó en el agua # ahora Mr Bean &um # se nada en la piscina pero no pienso que él le gusta nadar ,VPN
122,Mr Bean está en la piscina ahora &um porque cuando él &um está en el trampolín &um los niños no se ayude y Mr Bean se cayó en el agua # ahora Mr Bean &um # se nada en la piscina pero no pienso que él le gusta nadar ,V
122,Mr Bean (1)vea [:ve] [*] un musición [: músico] [*] y en el túnel continua a caminar y (2)ver a la musición [: músico] [*] # sí él camine [: camina] [*] por el túnel ,V
122,Mr Bean (1)vea [:ve] [*] un musición [: músico] [*] y en el túnel continua a caminar y (2)ver a la musición [: músico] [*] # sí él camine [: camina] [*] por el túnel ,VPN
122,en la habitación Mr Bean camina en el baño con la ropa y una cosa en la otra mano y él está en # la cama tiene un astronauta y la pulsera de &um el centro de comercial,VPN
122,Mr Bean está enojado que &um <el tren> [/] el tren está saliando [: saliendo] [*] y él está en el andén &um # él salta enojado y #,V
122,&um señor Bean (1)ve en la [//] las (2)ventanas de la tienda &um él quiere una cosa en la (3)ventana &um &um él camina en la tienda para comprar una cosa,VPN
122,Mr Bean camina &um de el baño baño de &um hombres y camina a los toboganes y &um quiere [/] quiere ir en la tobogán &um en la piscina y el tobogán es un elefante y es naranja,VPN
122,Mr Bean camina &um de el baño baño de &um hombres y camina a los toboganes y &um quiere [/] quiere ir en la tobogán &um en la piscina y el tobogán es un elefante y es naranja,VPN
122,Mr Bean camina &um de el baño baño de &um hombres y camina a los toboganes y &um quiere [/] quiere ir en la tobogán &um en la piscina y el tobogán es un elefante y es naranja,VPN
122,pienso que es la (1)Navidad y &um Mr Bean camina [/] &um camina de la puerta o por la puerta y &um # y Mr Bean &um quiere salir &um el habitación porque &um es probablemente una fiesta en un lugar &um y &um,VPN
122,pienso que es la (1)Navidad y &um Mr Bean camina [/] &um camina de la puerta o por la puerta y &um # y Mr Bean &um quiere salir &um el habitación porque &um es probablemente una fiesta en un lugar &um y &um,VN
122,Mr Bean está &um # Mr Bean llega en la habitación &um después de él [/] &um él sal€ [/] salga [: sale] [*] y &um en la habitación Mr Bean probablemente quiere ir la cama porque él posible tiene un día muy difícil o posible es muy cansado,VPN
122,Mr Bean está &um # Mr Bean llega en la habitación &um después de él [/] &um él sal€ [/] salga [: sale] [*] y &um en la habitación Mr Bean probablemente quiere ir la cama porque él posible tiene un día muy difícil o posible es muy cansado,VN
122,Mr Bean está &um # Mr Bean llega en la habitación &um después de él [/] &um él sal€ [/] salga [: sale] [*] y &um en la habitación Mr Bean probablemente quiere ir la cama porque él posible tiene un día muy difícil o posible es muy cansado,VPN
122,Mr Bean está bailando en la calle en un # &um # y &um <mova [: (1)mueve] [*] el pie en> [//] mova [: (2)mueve] [*] el pie a la música y yo <pienso que es> [//] pienso que se llama el [^ eng: duck walk] pero no sé yo pienso que es la (3)move [*] de baile,VPN
122,Mr Bean quiere [/] Mr Bean quiere estar en el andén pero la seguridad aparece &um # no quiere él estar en el andén y &um Mr Bean posible necesita el tren ir una ciudad diferente o una lugar de xxx y &um,VN
122,Mr Bean está en el piso y &um yo pienso que él es en # un [^ eng: diving board] y &um pienso que Mr Bean tiene miedo sobre saltar [//] saltando la piscina &um de allí y sí &um aparece que Mr Bean está en el [//] los troncos de piscina pero él necesita hacerlo él necesita,VN
122,Mr Bean camina en &um el fotomatón y pienso que él quiere &um fotos (1)nuevos de él para # &um decorar la casa y [/] y &um pienso que los fotografías son &um tontos y pienso que Mr Bean está muy tonto pero pienso que los fotos son cómicos tontos y locos,VPN
122,Mr Bean camina en las escaleras con la maleta larga y &um pienso que él está en el hotel pero este hotel es muy &um muy bueno muy bueno hotel cinco estrellas y aparece como un [^ eng: valet] &um no se que &um hacer con la coche de Mr Bean,VPN
122,el hombre en el traje de xxx &um es corre [/] corre &um <pienso que [^ eng: that´s]> [//] pienso que es Mr Bean pero no sé &um Mr Bean está solamente un &um [^ eng: belt] blanco y el hombre aparece [//] aparecer [^ eng: belt] negro y Mr ,V
122,Mr Bean quiere [/] &um quiere ir en la tienda &um porque es una [^ eng: sale] y todas personas &um les gusta una [//] un [^ eng: sale] y pienso que es posible la (1)Navidad o un [^ eng: holiday] &um porque yo pienso que yo (2)veo &um <un árbol>  [/] árbol de (3)Navidad en una (4)ventana pero no sé y &um es como un tienda de departamento,VPN
122,Mr Bean está en la cama y la cama tiene &um los flores en &um # en la y la maleta que Mr Bean &um tiene <en la cena> [//] en la # cine que &um <él camine> [//] él camina en los escaleras está en el [//] la sala,VPN
122,pienso que Mr Bean &um pienso que es el tren de Mr Bean y él &um no está en el tren y Mr Bean está enojado y &um él salta en el andén en porque él enojado y una persona &um una persona pienso [//] piensa que es cómico y quiere &um filmar Mr Bean salta en el andén,VPN
122,&um señor Bean &um (1)ve el (2)televisión &um él (3)levanta y sienta [: se sienta] [*] [/] siente [: se sienta] [*]  en la silla,VPN
122,Mr Bean está en la carretera y pienso que él es [/] es corriendo &um no sé porque pero él necesito [//] necesita ir [/] &um ir &um a una lugar &um pero no sé a dónde &um sí,V
122,Mr Bean está en la carretera y pienso que él es [/] es corriendo &um no sé porque pero él necesito [//] necesita ir [/] &um ir &um a una lugar &um pero no sé a dónde &um sí,VPN
122,Mr Bean aparece enojado o confundo o curioso &um pero él está saliendo el coche y no sé porque pienso que él [/] él (1)ve una cosa &um que es mal no sé no sé que pero pienso que es una cosa malo y Mr Bean parece que él no le gusta este cosa pero,VN
122,Mr Bean tiene un perro y &um tiene un [^ eng: funnel cake] o pastel no sé &um tiene un dulce posible pienso y él &um corriendo en la taquilla &um salir el perro no sé porque &um pero el perro aparece simpático,VPN
122,Mr Bean &um toma las escaleras &um salta en la piscina y # pienso que él quiere &um # aparecer muy # muy (1)divertido y &um un guapo hombre que [/] que salta en el piscina de un grande distancia sí,VPN
122,Mr Bean &um toma las escaleras &um salta en la piscina y # pienso que él quiere &um # aparecer muy # muy (1)divertido y &um un guapo hombre que [/] que salta en el piscina de un grande distancia sí,VPN
122,pienso que &um la gallina tiene el bil(lete) [/] billete que &um que era en la escena &um más temprano y &um # la gallina corre muy rápido [/] rápida pero Mr Bean necesita xxx la gallina &um él necesite un billete por posible autobús o un tren pero no sé,V
122,Mr Bean está muy emocionado y le gusta salta [: saltar] [*] en la cama y él # él le sienta [: se siente] [*] muy emocionada [/] emocionado y &um contento y &um es como el niño &um sí él pienso que él actua como un niño y a mi me gusta Mr Bean,VPN
122,la rana [//] um la rana quiere salir el jarro um para la (1)ventana .,VN
122,cuando el niño y el perro um levantán [: (1)levantaron] [*] .,V
122,el perro con el jarro en la cabeza salta por la (1)ventana .,VPN
122,el niño se cayó .,V
122,cuando el perro um es corre de las abejas .,VPN
122,el (1)venado (2)levantarse con el niño en um en um en lo caro [//] carro [*] .,VPN
122,y ellos saltan en el pricipo [: precipicio] [*] .,VPN
122,el niño se cayó .,V
122,y el perro se caye [: cae] [*] con el niño .,V
122,el niño y el perro nad(an) [/] nadan para el tronco .,VPN
122,la rana sita [: se sienta] [*] en um nenúfar en la um estanque .,VPN
122,la rana sita [: se sienta] [*] en um nenúfar en la um estanque .,VPN
122,el niño y el perro quieren la rana y corre [: corren] [*] a la estanque .,VPN
122,el niño y el perro um se (1)olvide sobre el tronco y se caen .,V
122,el niño y el perro um se caen en el estanque .,VPN
122,y la rana um y la rana mova [: (1)mueve] [*] .,V
122,y la rana salta .,V
122,um salta # la rana salta . ,V
122,y um salga el um nenúfar .,VN
122,la rana sita [: se siente] [*] en el tronco .,VPN
122,el niño y el perro nadan [/] um nadan al la piso .,VPN
122,la rana se cae um en la estanque .,VPN
122,el niño con su red y el perro um # salen .,V
122,cuando el niño y el perro um son camina .,V
122,la rana salta en la bañera .,VPN
122,y la rana um sal(tó) [//] salten [: saltó] [*] de la cubeta .,VPN
122,y el perro y el niño continúan caminar .,V
122,cuando la rana está en el barco el barco (1)vaya en la estanque .,VPN
122,y su madre (1)venga tener el barco .,V
122,y la rana # la rana nada sin rudio [: ruido] [*] porque [/] porque no quiere (1)ver .,V
122,la rana está muy curiosa y <él tiene> [//] él quiere um ir en el cochecito .,VPN
122,y salta en el cochecito con el bebé ,VPN
122,y la rana empieza correr de el gato .,VPN
